"Year","Area","Street","Street.2"
2011,"Walsall"," Upper Dean St, City Centre",
2011,"Wolverhampton","Upper Parade Sutton Coldfield",
2011,"Birmingham","Upper Parade Sutton Coldfield",
2011,"Dudley"," Victoria Square,  Bham",
2011,"Wolverhampton"," Victoria Square, City Centre ",
2011,"Sandwell"," Waiverley Park,Handsworth",
2011,"Wolverhampton","Walkabout Bar Broad St",
2011,"Sandwell"," Walkabout Ph, Broad St, Birmingham",
2011,"Sandwell"," Walkabout Ph, Broad St, Birmingham",
2011,"Solihull"," Walkabout, Broad St",
2011,"Walsall"," Walsall Rd,  Great Barr",
2011,"Coventry"," Walsall Rd, Perry Barr",
2011,"Birmingham","Warf Rd Kings Norton",
2011,"Sandwell","Warwards Lane",
2011,"Coventry"," Washington Drive, Handsworth Wood",
2011,"Coventry","Washington St",
2011,"Birmingham"," Waterloo Rd, Smethwick",
2011,"Solihull"," Waverhill Park, Handsworth",
2011,"Wolverhampton"," Waverhill Rd, Handsworth",
2011,"Wolverhampton","Way Entrance Villa Ground",
2011,"Dudley","Wellington Rd",
2011,"Dudley","Witton Arms",
2011,"Wolverhampton","Witton Rd",
2011,"Sandwell","Witton Rd",
2011,"Coventry","Witton Rd Aston",
2011,"Birmingham","Wrottesley St",
2011,"Coventry","Primrose Hill Coventry",
2011,"Wolverhampton","Albany Rd",
2011,"Sandwell","Aldbourne Rd",
2011,"Birmingham","Aldermans Green Rd",
2011,"Coventry","Allesley Old Rd",
2011,"Walsall","Almond Tree Avenue",
2011,"Dudley","Arbury Ave Coventry",
2011,"Wolverhampton","Arena Carpark A444",
2011,"Birmingham","Argyle St Coventry",
2011,"Birmingham","Armstrong Avenue Stoke",
2011,"Dudley","Ashorne Close",
2011,"Coventry","Attoxhall Rd",
2011,"Sandwell"," Averley Rd , Daimler Green",
2011,"Birmingham","Awson St",
2011,"Coventry"," Bandals Surgery, Foleshill Rd",
2011,"Wolverhampton","Bell Green Rd Junction A444",
2011,"Birmingham"," Bell Green Rd, Coventry",
2011,"Coventry"," Bell Green Rd, Coventry",
2011,"Coventry","Binley Rd",
2011,"Dudley","Binley Rd",
2011,"Wolverhampton","Binley Rd",
2011,"Sandwell","Binley Rd",
2011,"Sandwell","Bishop St",
2011,"Coventry","Blackhorse Lane",
2011,"Wolverhampton","Blythe Rd",
2011,"Coventry","Bp Garage Ansty Rd",
2011,"Coventry","Bramble St Coventry",
2011,"Birmingham"," Braod Park Rd, Coventry",
2011,"Wolverhampton"," Bredon Ave, Coventry",
2011,"Birmingham","Broadgate",
2011,"Coventry","Bull Yard",
2011,"Birmingham","Bushberry Avenue",
2011,"Walsall","Butts Rd Coventry",
2011,"Walsall","Cashs Lane",
2011,"Walsall","Cauldon Rd",
2011,"Coventry","Charter Ave",
2011,"Wolverhampton","Charter Ave Coventry",
2011,"Wolverhampton","Chester St",
2011,"Solihull","Chesterton Rd",
2011,"Solihull"," Cheveral Ave, Coventry",
2011,"Wolverhampton","Cliffbridge Rd",
2011,"Wolverhampton"," Clifton St ,Coventry ",
2011,"Sandwell","Coc St",
2011,"Birmingham"," Communal Landing At George Poole House, Coventry",
2011,"Coventry","Compton Rd",
2011,"Solihull","Concourse Near Mortimers",
2011,"Birmingham","Cook St",
2011,"Birmingham","Corporation St",
2011,"Solihull"," Corporation St ,Coventry ",
2011,"Dudley","Corporation St",
2011,"Wolverhampton","Coundon Rd",
2011,"Wolverhampton","Coventry",
2011,"Walsall","Coventry Central Cells",
2011,"Walsall","Coventry Central Front Office",
2011,"Walsall","Coventry Central Pol Stn",
2011,"Sandwell","Coventry Central Police Station",
2011,"Coventry","Coventry Central Police Station",
2011,"Coventry","Coventry Central Ps",
2011,"Wolverhampton","Coventry Central Ps",
2011,"Wolverhampton","Coventry Railwat Station ",
2011,"Birmingham","Coventry Railway Station ",
2011,"Coventry","Coventry Train Station",
2011,"Dudley","Cox St",
2011,"Coventry","Cross Rd",
2011,"Walsall","Devonshire Arms",
2011,"Coventry","Duckham Court",
2011,"Walsall","Earlsdon High St",
2011,"Solihull"," Elms Pub, Birmingham Rd",
2011,"Coventry","Fairfax St",
2011,"Dudley","Far Gosford St",
2011,"Coventry","Far Gosford St",
2011,"Birmingham","Farndale Ave",
2011,"Dudley","Farndale Ave",
2011,"Wolverhampton","Foleshill Rd",
2011,"Dudley","Foleshill Rd",
2011,"Solihull","Foleshill Rd",
2011,"Coventry","Foleshill Rd",
2011,"Coventry"," Foleshill Rd, Coventry",
2011,"Walsall"," Four Pounds Ave, Coventry",
2011,"Wolverhampton","Friars Rd",
2011,"Solihull","Front Of Coventry Central Police Station",
2011,"Solihull","Front Office",
2011,"Sandwell","Front Office",
2011,"Sandwell"," Gala Bingo, Pool Meadow",
2011,"Dudley","Gosford St",
2011,"Wolverhampton","Gosford St",
2011,"Wolverhampton","Gosford St",
2011,"Coventry","Greyfriars St Coventry",
2011,"Sandwell","Gulson Rd Coventry",
2011,"Walsall","Gulson Rd Coventry",
2011,"Walsall","Hale St",
2011,"Solihull"," Hales St, Coventry",
2011,"Walsall","Hartfrod St",
2011,"Walsall","Hayle St",
2011,"Birmingham","Hayles St",
2011,"Wolverhampton","Hedgefield Way",
2011,"Coventry","Herald Way Coventry",
2011,"Wolverhampton","High St Coventry",
2011,"Wolverhampton","High St",
2011,"Solihull","High St",
2011,"Birmingham","Hill St",
2011,"Coventry","Hipswell Highway",
2011,"Wolverhampton","Holmesdale Rd",
2011,"Birmingham","Hurst Rd",
2011,"Birmingham","Ibis Hotel",
2011,"Coventry","Ikea Car Park",
2011,"Wolverhampton","Ikea Plaza",
2011,"Coventry","Iron Monger Row",
2011,"Solihull","Jardine Crescent",
2011,"Dudley","Jardine Crescent",
2011,"Dudley","Jasrdine Crescent",
2011,"Birmingham","Jd Wetherspoon Earlsdon",
2011,"Walsall","Jordan Well",
2011,"Solihull"," Jordan Well , Coventry",
2011,"Wolverhampton","Jubilee Cresent",
2011,"Walsall","Kirby Rd",
2011,"Walsall","Lady Lane",
2011,"Dudley","Lambeth Close",
2011,"Wolverhampton","Leader Close",
2011,"Dudley","Lidice Place",
2011,"Coventry"," Lincoln St ,Coventry",
2011,"Dudley","Littl Park St",
2011,"Solihull"," Little Park St ,Coventry ",
2011,"Walsall"," Little Park St ,Coventry ",
2011,"Walsall","Little Park St Coventry",
2011,"Sandwell","Little Park St",
2011,"Coventry","Little Park St",
2011,"Coventry","Little Park St",
2011,"Sandwell","Little Park St",
2011,"Coventry","Little Park St",
2011,"Solihull","Little Park St",
2011,"Solihull","Little Park St",
2011,"Birmingham","Little Park St",
2011,"Coventry","Little Park St",
2011,"Dudley","London Rd",
2011,"Walsall","London Rd",
2011,"Wolverhampton","Longford Rd",
2011,"Coventry","Lower Ford St",
2011,"Walsall","Lower Ford St",
2011,"Coventry","Lower Holyhead D Jtn With Spon St",
2011,"Walsall","Lower Holyhead Rd Coventry",
2011,"Dudley","Lower Holyhead Rd Coventry",
2011,"Sandwell","Lower Precinct Coventry",
2011,"Sandwell","Mafo",
2011,"Dudley","Manor House Drive",
2011,"Wolverhampton","Market Way",
2011,"Wolverhampton","Mary Slessor St",
2011,"Dudley","Masser Rd",
2011,"Birmingham"," Mcdonalds Restaurant A45 ,Coventry ",
2011,"Coventry"," Memorial Park, Coventry",
2011,"Birmingham","Middle Ride",
2011,"Walsall","Mile Lane",
2011,"Sandwell","Mile Lane",
2011,"Solihull","Millenium Place",
2011,"Walsall","Millenium Place",
2011,"Walsall"," Mint Casino, King William St",
2011,"Wolverhampton","Miranda Close",
2011,"Solihull","Morris Rd",
2011,"Sandwell","Motor Museum",
2011,"Birmingham","New Union St",
2011,"Solihull","Norman Place Rd",
2011,"Coventry","Northy Rd",
2011,"Walsall","O S Ccfo",
2011,"Coventry","O S Coventry Central Police Station",
2011,"Solihull","O S Gosford Arms",
2011,"Wolverhampton","Oak Gosford St",
2011,"Birmingham","Outside Coventry Central Ps",
2011,"Dudley","Outside Foleshill Ps",
2011,"Wolverhampton","Outside Front Of Coventry Central Police Station ",
2011,"Birmingham","Outside Heat Bar",
2011,"Wolverhampton","Outside Kasbars",
2011,"Birmingham"," Outside Of The Jewson Stand, Richo Arena, Coventry",
2011,"Wolverhampton","Owenford Rd",
2011,"Wolverhampton"," Palm Tree Ave, Wood End",
2011,"Wolverhampton"," Palmer Lane , Coventry ",
2011,"Wolverhampton"," Palmer Lane , Coventry ",
2011,"Wolverhampton"," Palmer Lane , Coventry ",
2011,"Birmingham"," Penruddick Drive, Coventry",
2011,"Solihull","Plymouth Close",
2011,"Sandwell","Pool Meadow",
2011,"Wolverhampton","Pool Meadow Bus Station",
2011,"Solihull","Pool Meadow Bus Stn",
2011,"Walsall","Poolmeadow",
2011,"Wolverhampton","Poolmeadow Bus Station",
2011,"Sandwell","Poolmeadow Bus Station",
2011,"Birmingham"," Poppy Court, Remembrance Rd, Willenhall, Coventry",
2011,"Walsall","Primrose Hill St",
2011,"Coventry","Primrose Hill St",
2011,"Solihull","Primrose Hill St",
2011,"Sandwell"," Primrose Hill St ,Coventry ",
2011,"Wolverhampton","Princethorpe Way",
2011,"Coventry"," Priory Fields, Coventry",
2011,"Coventry","Priory Gardens",
2011,"Solihull","Priory St",
2011,"Coventry","Puma Way",
2011,"Solihull"," Queen Mary S Rd ,Foleshill ,Coventry ",
2011,"Solihull","Queen Marys Rd Coventry",
2011,"Birmingham","Queen Victoria Rd",
2011,"Dudley","Radford Rd",
2011,"Coventry","Radford Rd",
2011,"Sandwell","Raglan St",
2011,"Wolverhampton","Red Lane",
2011,"Coventry","Remembrance Rd",
2011,"Birmingham","Richo Areana",
2011,"Wolverhampton","Richo Areana",
2011,"Coventry"," Richo Arena, Coventry",
2011,"Dudley","Ricoh Arena",
2011,"Walsall","Ricoh Arena",
2011,"Birmingham","Ricoh Arena",
2011,"Wolverhampton"," Ridgethorpe, Willenhall, Coventry",
2011,"Coventry"," Rileys Square, Bell Green",
2011,"Wolverhampton","Ring Rd",
2011,"Wolverhampton","Riverwalk Walk Wood End",
2011,"Walsall"," Roland Avenue ,Holbrooks ,Coventry ",
2011,"Birmingham","Rotherhanm Rd",
2011,"Walsall"," Sainsburys ,Trinity St ,Coventry ",
2011,"Wolverhampton","Scots Lane",
2011,"Wolverhampton","Sewall Highway",
2011,"Walsall","Sewall Highway",
2011,"Walsall","Sewall Highway Coventry",
2011,"Solihull"," Silver St ,Coventry ",
2011,"Walsall","Sky Blue Way",
2011,"Walsall","Sky Dome",
2011,"Sandwell","Sky Dome",
2011,"Walsall","Sky Dome",
2011,"Solihull","Sky Dome",
2011,"Walsall","Sky Dome",
2011,"Coventry","Sky Dome",
2011,"Walsall","Sky Dome",
2011,"Dudley","Sky Dome",
2011,"Birmingham","Sky Dome Concourse",
2011,"Wolverhampton","Sky Dome Concourse",
2011,"Dudley","Sky Dome Concourse",
2011,"Solihull","Sky Dome Concourse",
2011,"Wolverhampton","Sky Dome Concourse",
2011,"Sandwell","Sky Dome Concourse Covenmtry",
2011,"Wolverhampton","Sky Dome Concourse Coventry",
2011,"Solihull","Sky Dome Concourse ",
2011,"Coventry"," Sky Dome, Coventry",
2011,"Birmingham"," Sky Dome, Coventry City Centre",
2011,"Walsall","Sky Dome ",
2011,"Coventry","Sky Dome ",
2011,"Coventry","Sky Dome ",
2011,"Walsall","Skydome",
2011,"Walsall","Skydome",
2011,"Wolverhampton","Skydome",
2011,"Wolverhampton","Skydome",
2011,"Walsall","Skydome",
2011,"Birmingham","Skydome",
2011,"Coventry"," Skydome , Coventry ",
2011,"Coventry","Skydome Car Park",
2011,"Wolverhampton","Skydome Car Park",
2011,"Walsall","Skydome Complex",
2011,"Walsall","Skydome Complex",
2011,"Walsall","Skydome Complex",
2011,"Wolverhampton"," Skydome Complex, Coventry",
2011,"Coventry","Skydome Concourse",
2011,"Wolverhampton","Skydome Concourse",
2011,"Coventry","Skydome Concourse",
2011,"Coventry","Skydome Concourse",
2011,"Wolverhampton","Skydome Concourse",
2011,"Birmingham","Skydome Concourse",
2011,"Walsall","Skydome Concourse",
2011,"Birmingham","Skydome Concourse",
2011,"Walsall","Skydome Concourse",
2011,"Dudley","Skydome Concourse",
2011,"Birmingham","Skydome Concourse",
2011,"Walsall","Skydome Concourse",
2011,"Solihull","Skydome Concourse",
2011,"Wolverhampton","Skydome Concourse",
2011,"Wolverhampton","Skydome Concourse",
2011,"Wolverhampton"," Skydome Concourse ,Coventry",
2011,"Dudley","Skydome Concourse   ",
2011,"Sandwell","Skydome Coventry",
2011,"Sandwell","Skydome Coventry",
2011,"Sandwell","Skydome Coventry City Centre",
2011,"Wolverhampton"," Skydome, Coventry",
2011,"Solihull"," Skydome, Coventry",
2011,"Walsall","Sorell Close",
2011,"Walsall"," Southbank Rd ,Coventry ",
2011,"Coventry","Spom St Coventry",
2011,"Walsall","Spon End",
2011,"Solihull"," Spon End, Coventry",
2011,"Coventry"," Spon St ,Coventry",
2011,"Solihull"," Spon St ,Coventry ",
2011,"Birmingham","Spon St Coventry",
2011,"Dudley","Spon St Coventry",
2011,"Birmingham","Spon St Coventry",
2011,"Wolverhampton","Spon St Coventry",
2011,"Wolverhampton","Spon St Coventry",
2011,"Solihull","Spon St Coventry",
2011,"Sandwell","Spon St Coventry",
2011,"Wolverhampton","Spon St",
2011,"Coventry","Spon St",
2011,"Sandwell","Spon St",
2011,"Wolverhampton","Spon St",
2011,"Walsall","Spon St",
2011,"Solihull","Spon St",
2011,"Wolverhampton","St Georges Rd",
2011,"Walsall"," St Georges Rd, Stoke",
2011,"Coventry","St Lukes Rd Coventry",
2011,"Sandwell","Stonet Stanton Rd Police Station",
2011,"Walsall"," Stoney Stanton Rd Police Station, Coventry",
2011,"Solihull","Swanswell Park",
2011,"Walsall","Tachbrook Close",
2011,"Coventry"," Tarquin Close, Coventry",
2011,"Sandwell","Terry Rd",
2011,"Dudley"," Terry Rd, Coventry",
2011,"Birmingham","The Bull Yard City Centre",
2011,"Walsall","The Bullyard",
2011,"Walsall","The Burges",
2011,"Birmingham","The Burgess",
2011,"Sandwell","The Burgess",
2011,"Walsall","The Burgess",
2011,"Sandwell","The Butts Coventry",
2011,"Coventry","The Butts Retreat Ph",
2011,"Coventry","The Croft Longford",
2011,"Wolverhampton"," The Forum Medical Centre, Coventry",
2011,"Coventry","Thimbler Rd",
2011,"Solihull","Tile Hill Lane Coventry",
2011,"Walsall","Torrington Avenue",
2011,"Coventry","Trinity Point Link",
2011,"Birmingham","Trinity St",
2011,"Walsall","Trinity St",
2011,"Dudley","Trinity St",
2011,"Coventry","Trinity St City Centre Coventry",
2011,"Birmingham","University Hospital",
2011,"Birmingham","University Hospital",
2011,"Wolverhampton","University Hospital Coventry",
2011,"Walsall"," Unniversity Of Warwick, Coventry",
2011,"Wolverhampton","Upper Spon St",
2011,"Walsall","Vine St",
2011,"Walsall","Vine St",
2011,"Birmingham","Vinecote Rd",
2011,"Coventry","Wallace Rd",
2011,"Coventry","Walsgrave Hospital",
2011,"Birmingham","Warwick Row",
2011,"Coventry","Warwick University",
2011,"Dudley","West Orchard",
2011,"Sandwell","West Orchards Circulatory Rd",
2011,"Sandwell","White St",
2011,"Solihull","Willenhall Lane Coventry",
2011,"Walsall","Willenhall Police Station Front Office",
2011,"Sandwell","Willenhall Ps",
2011,"Sandwell","Winnalthorpe",
2011,"Birmingham","Wood Way Lane Coventry",
2011,"Wolverhampton","Wroxall Drive",
2011,"Walsall","Wroxhall Drive",
2011,"Dudley","Albion St Brierley Hill",
2011,"Birmingham","Amblecote High St Stourbridge",
2011,"Birmingham","Arley Court",
2011,"Coventry","Baptist End Rd Netherton ",
2011,"Birmingham"," Bell St, Stourbridge",
2011,"Solihull","Bell St",
2011,"Walsall"," Bell St,Stourbridge",
2011,"Dudley","Bhps",
2011,"Coventry"," Birmingham St, Stourbridge",
2011,"Coventry","Bramford Arms",
2011,"Sandwell","Brettle Lane",
2011,"Solihull","Brickhouse Rd",
2011,"Walsall"," Brisbane Rd, Smethwick",
2011,"Walsall","Broadway Stourbridge",
2011,"Dudley"," Broadway, Stourbridge",
2011,"Wolverhampton"," Broadway, Stourbridge",
2011,"Wolverhampton"," Burmese Way, Rowley Regis",
2011,"Walsall"," Bus Station, Dudley",
2011,"Sandwell","Carpark Of Maybrook Hosue In Halesowen",
2011,"Wolverhampton","Carpark Of The Barley Mow  High St Wollaston",
2011,"Birmingham","Castlegate Dudley",
2011,"Birmingham","Cinder Bank Island Netherton",
2011,"Solihull","Court St",
2011,"Sandwell"," Courthouse Ph, Sedgeley",
2011,"Sandwell","Crabmill Carpark Oldswinford",
2011,"Coventry","Crompton Rd",
2011,"Wolverhampton"," Crown Centre, Stourbridge",
2011,"Coventry","Dudley Bus Station",
2011,"Coventry","Dudley Police Station",
2011,"Walsall","Dudley Rd",
2011,"Sandwell"," Dudley Rd, Brierley Hill",
2011,"Solihull"," Edward Rutland Ph, High St, Stourbridge",
2011,"Coventry","Enville Rd",
2011,"Sandwell","Fern Rd",
2011,"Solihull"," Foster St,Stourbridge",
2011,"Walsall","Front Office Bhps",
2011,"Birmingham"," Front Office, Stourbridge",
2011,"Coventry"," Front Office, Stourbridge Police Station ",
2011,"Solihull","Hagley Rd",
2011,"Sandwell"," Halesowen Rd, Netherton",
2011,"Coventry","Halesowen Town Centre",
2011,"Birmingham"," Hampden Close,Quarry Bank",
2011,"Wolverhampton"," Hereford Rd, Netherton",
2011,"Walsall","High St Stourbridge",
2011,"Wolverhampton","High St Stourbridge",
2011,"Walsall","High St Stourbridge",
2011,"Wolverhampton","High St Stourbridge",
2011,"Wolverhampton"," High St, Dudley",
2011,"Walsall"," High St, Sedgely",
2011,"Solihull"," High St, Stourbridge",
2011,"Coventry"," High St, Stourbridge",
2011,"Birmingham"," High St, Stourbridge",
2011,"Wolverhampton"," High St, Stourbridge",
2011,"Coventry"," High St, Stourbridge",
2011,"Birmingham","High St",
2011,"Solihull","High St",
2011,"Wolverhampton","High St",
2011,"Sandwell"," High St , Brierley Hill",
2011,"Sandwell","High St Blackheath",
2011,"Coventry","High St Quarry Bank",
2011,"Birmingham","High St Stourbridge",
2011,"Walsall","High St Stourbridge",
2011,"Solihull","High St Stourbridge",
2011,"Dudley","High St Stourbridge ",
2011,"Birmingham","High St West Bromwich",
2011,"Solihull"," High St, Amblecote",
2011,"Walsall"," High St, Smethwick",
2011,"Walsall"," High St, Stourbridge",
2011,"Sandwell"," High St, Stourbridge",
2011,"Coventry"," High St, Stourbridge",
2011,"Coventry"," High St, Stourbridge",
2011,"Walsall"," High St, Stourbridge",
2011,"Sandwell"," High St, Stourbridge",
2011,"Sandwell"," High St, Stourbridge",
2011,"Wolverhampton"," High St, Stourbridge",
2011,"Wolverhampton"," High St,Halesowen",
2011,"Walsall"," High View St, Dudley",
2011,"Wolverhampton"," Hilly Lane, Halesowen",
2011,"Sandwell"," Himley Rd,Gornal",
2011,"Sandwell","Home Address",
2011,"Wolverhampton","Hope Tavern Netherton",
2011,"Birmingham"," Hurst Rd, Oldbury",
2011,"Coventry"," Jackson St, Lye",
2011,"Solihull"," Kfc, Merry Hill Centre  Dudley",
2011,"Sandwell","King St Dudley",
2011,"Dudley"," Kingsley Rd,Netherton",
2011,"Walsall","Larel Lane Halesowen",
2011,"Wolverhampton"," Little Barrel Ph, Dudley",
2011,"Dudley","Lloyds Bar Stourbridge",
2011,"Walsall"," Long Lane, Halesowen",
2011,"Walsall"," Lower Derry  St, Brierley Hill",
2011,"Wolverhampton"," Lower High St, Stourbridge",
2011,"Birmingham","Lupin Rd",
2011,"Coventry","Lye High St",
2011,"Coventry","Market St Kingswinford",
2011,"Sandwell"," Market St, Knigswinford ",
2011,"Walsall"," Market St, Stourbridge",
2011,"Walsall"," Market St, Stourbridge",
2011,"Coventry"," Market St,Kingswinford",
2011,"Solihull","Marriot Rd",
2011,"Walsall","Marriot Rd",
2011,"Sandwell","Mary Stevens Park",
2011,"Solihull","Maybrook House Car Park Halesowen",
2011,"Walsall"," Meadowfields Close, Wordsley",
2011,"Wolverhampton"," Merryhill Centre, Brierley Hill",
2011,"Wolverhampton"," Mill St,Sedgley",
2011,"Walsall"," Mill St,Sedgley",
2011,"Wolverhampton","Moore St",
2011,"Coventry"," New Rd, Dudley",
2011,"Solihull","New Rd Stourbridge",
2011,"Coventry","New St Dudley",
2011,"Wolverhampton"," Odeon Cinema , Merry Hill",
2011,"Wolverhampton"," Odeon Cinema , Merry Hill",
2011,"Solihull","Outside Santander High St Stourbridge",
2011,"Coventry","Park Rd Wrens Nest",
2011,"Solihull","Playground At Priory Primary School",
2011,"Wolverhampton"," Princess Rd, Old Hill",
2011,"Walsall"," Priory St,Dudley",
2011,"Walsall","Rhh",
2011,"Wolverhampton"," Ring Rd ,  Stourbridge ",
2011,"Walsall"," Ring Rd, Stourbridge",
2011,"Birmingham"," Rookery Park, Pensnett",
2011,"Coventry","Salop St",
2011,"Birmingham","Salop St",
2011,"Wolverhampton","Sedgley Bullring",
2011,"Dudley","Sedgley Conservative Club",
2011,"Birmingham","Sedgley Conservative Club",
2011,"Birmingham","Short St",
2011,"Birmingham"," South Rd,Stourbridge",
2011,"Coventry","Stourbridge",
2011,"Walsall","Stourbridge High St",
2011,"Birmingham","Stourbridge High St",
2011,"Coventry","Stourbridge High St",
2011,"Sandwell","Stourbridge High St",
2011,"Coventry","Stourbridge Junction  ",
2011,"Wolverhampton","Stourbridge Ps Front Office",
2011,"Walsall","Stourbridge Rd Holly Hall",
2011,"Wolverhampton"," Stourbridge Rd, Lye",
2011,"Wolverhampton"," Stourbridge Rd, Brierley Hill",
2011,"Wolverhampton"," Stourbridge Rd, Brierley Hill",
2011,"Coventry","Stourbridge Rd ",
2011,"Solihull","Tesco Express Amblecote Stourbridge",
2011,"Walsall"," The Swan Public House, Kingswinford",
2011,"Dudley"," Tower St, Dudley",
2011,"Coventry"," Victoria St, Stoubridge",
2011,"Coventry"," Ward B3, Rhh",
2011,"Birmingham"," Windmill End, Dudley",
2011,"Sandwell","Windmill Lane  Cape Hill",
2011,"Birmingham","Wolverhampton St Dudley",
2011,"Birmingham"," Wolverhampton St, Dudley",
2011,"Sandwell"," Wolverhampton St, Dudley",
2011,"Coventry","Worcester St Stourbridge",
2011,"Coventry"," W Ton St, Dudley",
2011,"Dudley"," W Ton St, Dudley",
2011,"Solihull","A E Soliohull Hospital",
2011,"Coventry","Airport",
2011,"Coventry"," Ash Crescent, Chelmsley Wood",
2011,"Birmingham","Assembly Rooms",
2011,"Wolverhampton","Auckland Drive",
2011,"Walsall","Auckland Drive",
2011,"Wolverhampton","Auckland Drive",
2011,"Birmingham","Auckland Drive",
2011,"Birmingham"," Auckland Drive, C Wood",
2011,"Solihull"," Auckland Drive, Chelmsley Wood Solihull",
2011,"Coventry","Bham Airport",
2011,"Coventry","Bham Int Train Station",
2011,"Walsall","Bham International Train Station",
2011,"Dudley","Birmingham Airport",
2011,"Wolverhampton"," Blair Grove ,Chelmsley Wood ,Birmingham ",
2011,"Coventry"," Brackleys Way, Solihull",
2011,"Solihull","Brickhill Dr",
2011,"Wolverhampton"," Broad St,  Os Gatecrasher",
2011,"Solihull"," By St Alphedge Church, Solihull",
2011,"Birmingham","Carpark Marston Green Tavern",
2011,"Birmingham"," Chelmsley Rd, Chelmsley Wood",
2011,"Solihull"," Chelmsley Rd, Chelmsley Wood",
2011,"Coventry","Church Close",
2011,"Walsall"," Clock Public House, Clock Lane",
2011,"Coventry","Colebrook Rd",
2011,"Dudley","Colebrook Rd",
2011,"Wolverhampton"," Copt Heath Drive, Knowle",
2011,"Solihull","Danford Lane",
2011,"Wolverhampton"," Dunton Hall Rd, Shirley",
2011,"Solihull"," Foleshill Rd, Coventry",
2011,"Walsall","Forth Drive",
2011,"Solihull","Fox Hollies Rd",
2011,"Wolverhampton","Foyer Of Etap Hotel Bhx",
2011,"Solihull"," Grandys Drive, Chelmsley Wood",
2011,"Wolverhampton","Green Lane",
2011,"Wolverhampton","Greenwood Shopping Centre",
2011,"Wolverhampton","Greswold Hotel",
2011,"Birmingham","Halifax Rd ",
2011,"Walsall","Helmswood Drive",
2011,"Coventry","Helmswood Drive",
2011,"Dudley","Helmswood Drive",
2011,"Solihull","High St",
2011,"Birmingham","High St",
2011,"Solihull"," High St ,Solihull ",
2011,"Coventry","High St Solihull",
2011,"Coventry","High St Solihull",
2011,"Wolverhampton"," High St, Town Centre Solihull",
2011,"Walsall","High St",
2011,"Coventry","High St",
2011,"Coventry","High St",
2011,"Coventry","High St",
2011,"Walsall","High St",
2011,"Solihull","High St",
2011,"Wolverhampton","High St",
2011,"Wolverhampton"," High St ,Solihull ",
2011,"Sandwell"," High St ,Solihull ",
2011,"Wolverhampton","High St Solihull",
2011,"Birmingham","High St Solihull",
2011,"Coventry","High St Solihull",
2011,"Coventry"," High St, Solihull",
2011,"Solihull"," High St, Solihull",
2011,"Wolverhampton"," High St, Solihull Town Centre",
2011,"Dudley"," High St, Solihull, West Mids",
2011,"Walsall","Highfield Roa Washwood Heath Birmingham",
2011,"Coventry"," Hillfield Park, Solihull",
2011,"Sandwell"," Hobsmoat Rd, Solihull",
2011,"Sandwell","Hoggarts Hotel Dorridge",
2011,"Solihull","Kingfisher Drive Smithswood",
2011,"Walsall"," Kitts Green Rd, Kitts Green, Bham",
2011,"Solihull","Kitts Green Rd ",
2011,"Birmingham","Laburnam Avenue",
2011,"Walsall","Lg Arena",
2011,"Sandwell","Lg Arena   Nec Complex",
2011,"Wolverhampton","Lg Arena Nec",
2011,"Walsall","Lg Arena  Nec Complex",
2011,"Wolverhampton","Lode Lane",
2011,"Coventry","Lode Lane",
2011,"Coventry","Lodge Rd",
2011,"Coventry","Manor Walk Solihull",
2011,"Walsall","Marlene Croft",
2011,"Coventry","Mcdonalds",
2011,"Walsall","Mill Lane",
2011,"Solihull"," Mill Lane, Solihull",
2011,"Coventry","Moordane Avenue",
2011,"Walsall","Moorend Avenue Opposite Wiilow Avenue Solihull",
2011,"Solihull","O S Avaon Croft House Wincester Drive",
2011,"Walsall","O S Departure Terminal  Birmingham International Airport Solihull",
2011,"Walsall","O S Grrenwood P H Helmswood Drive Chelmsley Wood Solihull",
2011,"Solihull","O S Loft Nightclub High St Solihull",
2011,"Coventry","O S Mill Labe Entrance To Touchwood Shopping Centre",
2011,"Wolverhampton","O S Red Lion Earlswood",
2011,"Coventry"," O S Rosies, High St Solihull",
2011,"Walsall"," O Sthe Loft, Solihull",
2011,"Wolverhampton","O S Coach House P H Herbert Rd Solihull West Midlands",
2011,"Wolverhampton","O Neills Poplar Rd Solihull",
2011,"Walsall"," Os Assembly Rooms , Poplar Rd",
2011,"Birmingham"," Os Lg Arena, Nec Complex",
2011,"Birmingham","Os Lg Arena  Nec Complex",
2011,"Wolverhampton"," Outside The Clock Ph, Clock Lane",
2011,"Birmingham","Outside White Swan Station Rd Solihull",
2011,"Sandwell","Park In Bell Lane ",
2011,"Sandwell","Parkdale Rd Sheldon",
2011,"Coventry","Poplar Rd  Solihull",
2011,"Sandwell","Poplar Rd",
2011,"Birmingham","Poplar Rd",
2011,"Coventry","Poplar Rd",
2011,"Solihull","Poplar Rd",
2011,"Birmingham","Poplar Rd",
2011,"Birmingham","Poplar Rd",
2011,"Wolverhampton","Poplar Rd",
2011,"Walsall","Poplar Rd",
2011,"Walsall","Poplar Rd",
2011,"Coventry","Poplar Rd",
2011,"Sandwell","Poplar Rd",
2011,"Coventry","Poplar Rd",
2011,"Coventry","Poplar Rd",
2011,"Solihull","Poplar Rd",
2011,"Walsall"," Poplar Rd Solihull, West Midlands",
2011,"Sandwell"," Poplar Rd, Solihull",
2011,"Solihull"," Poplar Rd, Solihull",
2011,"Walsall"," Poplar Rd, Solihull",
